workerIdAnon,stimID,stimulus,pot,stimFileName,time_to_load,time_to_serve,trial_number,respTimer,Annoyed,Apprehensive,Contemptuous,Content,Devastated,Disappointed,Disgusted,Embarrassed,Excited,Furious,Grateful,Guilty,Hopeful,Impressed,Jealous,Joyful,Proud,Relieved,Surprised,Terrified
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,253.2,253_2,21719.5,253_2t.mp4,0.873,0.001,1,39.786,0,0,0,31,0,0,0,0,24,0,34,1,28,10,0,23,0,32,11,1
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,252.2,252_2,310.0,252_2t.mp4,0.938,0.001,2,41.424,32,11,3,27,0,0,0,2,0,0,0,4,0,0,0,0,9,0,0,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,271.2,271_2,19025.5,271_2t.mp4,0.815,0.001,3,41.441,0,0,0,27,0,4,0,0,0,0,4,0,10,0,0,0,44,24,0,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,243.2,243_2,7726.5,243_2t.mp4,0.784,0.0,4,40.185,0,3,0,26,0,0,0,0,32,0,38,0,7,8,0,46,0,48,29,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,243.1,243_1,7726.5,243_1t.mp4,0.73,0.001,5,44.085,0,13,0,24,0,0,0,0,47,0,48,0,10,0,0,48,0,10,40,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,262.2,262_2,56488.0,262_2t.mp4,0.834,0.0,6,44.123,0,2,0,7,0,0,0,0,36,0,40,0,0,0,0,48,24,25,27,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,282.2,282_2,2843.5,282_2t.mp4,0.753,0.0,7,44.352,0,0,0,12,0,0,0,2,24,0,23,0,0,0,0,34,0,35,19,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,264.2,264_2,24145.0,264_2t.mp4,0.63,0.0,8,51.309,0,15,0,23,0,2,0,33,7,0,0,46,0,0,0,0,8,0,0,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,248.1,248_1,31403.0,248_1t.mp4,0.764,0.001,9,37.762,26,37,26,0,0,43,8,2,0,0,0,22,0,0,0,0,0,3,0,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,288.1,288_1,15744.5,288_1t.mp4,0.682,0.001,10,38.928,0,12,0,23,0,0,0,0,25,0,7,0,0,0,0,23,39,26,0,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,281.2,281_2,1803.0,281_2t.mp4,0.807,0.0,11,42.91,0,29,0,8,0,0,0,20,0,0,0,41,0,0,0,0,0,0,0,0
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,243.2,243_2,7726.5,243_2t.mp4,1.399,1.4,0,51.247,2,2,0,39,0,0,0,0,48,0,38,0,26,2,0,46,30,47,37,12
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,283.1,283_1,57518.0,283_1t.mp4,1.779,0.0,1,58.518,27,36,35,0,40,48,29,30,0,20,0,0,0,0,5,1,0,3,21,17
